id,question,answers
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Volume Restriction,"Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?","During the Term (including any renewal Term, if any), in the event that MusclePharm shall determine to develop and introduce a new Product into the market, MusclePharm shall provide the AS Parties with a sample of the name, design, marketing plan and an actual sample of such new Product (the ""Sample"") and the AS Parties shall have a right of first refusal (exercisable by written notice to MusclePharm within 15 days after receipt of the Sample) to include such new Product in the AS Product Line, it being understood that there shall initially be no less than four (4) Products at the start of the Term and thereafter no more than 8 (eight) Products in the AS Product Line without the mutual written agreement of the parties hereto."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Ip Ownership Assignment,"Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","MusclePharm agrees that any copyrights in works created based upon the Trademarks and/or Name and Appearance Rights shall become the rights of the AS Parties (as among them to be determined among them), All such works based upon the Trademarks and/or Name and Appearance Rights shall be prepared by an employee-for- hire of MusclePharm (under MusclePharms's sole supervision, responsibility, and monetary obligation) or as a work-for-hire by a third party who assigns to the AS Parties in writing and in perpetuity throughout the universe all right, title, and interest in the same provided however, nothing herein shall preclude MusclePharm from using any of the intellectual property to be retained by MusclePharm contemplated pursuant to Section 9(f) of this Agreement after the termination of this Agreement., MusclePharm irrevocably and unconditionally transfers and assigns to the AS Parties in perpetuity and throughout the universe any and all of MusclePharm's right, title, and interest, if any (including, without limitation, the rights generally known as 'moral rights') in and to all works, including any packaging, advertising and promotional materials, and other materials based upon the Trademarks and/or Name and Appearance Rights, all of which shall, upon their creation, become and remain the property of the AS Parties."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Joint Ip Ownership,"Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__License Grant,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","Endorser agrees that during the Term MusclePharm shall have the right to use, worldwide, Endorser's Name and Appearance Rights (as specified in Section 6) to advertise MusclePharm and its Products and Licensed Products in print media, and in all other forms of media (other than telephone marketing or texting campaigns) including, but not limited to, point of sale material, premiums and novelties, direct marketing material, and radio, television, electronic, and computer media (including but not limited to MusclePharm's Internet and social media websites). Print media will also include promotional items on which Endorser's approved picture; approved likeness, or facsimile signature may appear. Endorser will have the right to approve, in writing via his representative's office, all advertising materials which utilize Endorser's Name and Appearance Rights, but Endorser will not unreasonably withhold approval and will promptly respond to all approval requests., MusclePharm shall have the rights to use Endorser's Name and Appearance Rights and the Right to Publicize Endorser's Name and Appearance, as provided in this Agreement, unless Endorser and MusclePharm enter into a separate written agreement in which MusclePharm waives or releases some or all of the rights Endorser has granted in this Agreement., During the Term of this Agreement, the AS Parties grant to MusclePharm and consent to MusclePharm's commercial use of the Name and Appearance Rights to advertise, promote, endorse and publicize Products, Licensed Products, and MusclePharm's business, worldwide in any media selected by MusclePharm (excluding telephone or texting campaigns), including but not limited to print, radio, television, electronic, wireless or internet, pursuant to the terms and conditions set forth herein. MusclePharm acknowledges that any use on products requires approval and that use of the Name and Appearance Rights on products is limited to the Licensed Products., Endorser also grants to MusclePharm and consents to MusclePharm's editorial use world-wide of Endorser's Name and Appearance in MusclePharm published materials approved by Endorser. For purposes of this Agreement, MusclePharm's editorial use of Endorser's Name and Appearance shall mean a use that does not directly promote, advertise or endorse MusclePharm's business, its Products or Licensed Products. Nothing in this Section 6(c) shall entitle MusclePharm to reduce Endorser's compensation pursuant to Section 7 and Section 8 of this Agreement (including, without limitation, with respect to any renewal Term, if any)., During the Term, MusclePharm shall have the right to create and distribute the Promotional Products world- wide., Endorser also agrees to the use on a world-wide basis (as specified pursuant to Section 6 below and subject to the terms and conditions of this Agreement), during the Term, of his Name and Appearance Rights to advertise and promote the business of MusclePharm, its Products, and the Licensed Products., As provided below, during the Term, the AS Parties grant to MusclePharm the right to use the Trademarks as defined in this Agreement and the Name and Appearance Rights, which shall include Endorser's name, approved photograph, approved picture (including, without limitation, any copyrighted pictures and video images of the Endorser owned by the Endorser which Endorser agrees to make available for use hereunder), approved appearance, or approved likeness, including video and other recordings of Endorser's appearance, along with the right to use Endorser's voice, including audio or other recordings of Endorser's voice, Endorser's signature, personal or professional background and experience, reputation, approved quotations and approved endorsements, or approved paraphrases of Endorser's approved quotations and endorsements, including approved touch-ups, approved simulations or approved compositions of any of the above whether generated by computer or by any other means, for the period of time and for the purposes set forth in this Agreement. MusclePharm acknowledges that the use of some works may require that MusclePharm obtain a copyright license from third parties."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Non-Transferable License,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Affiliate License-Licensor,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Affiliate License-Licensee,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Unlimited/All-You-Can-Eat-License,"Highlight the parts (if any) of this contract related to ""Unlimited/All-You-Can-Eat-License"" that should be reviewed by a lawyer. Details: Is there a clause granting one party an “enterprise,” “all you can eat” or unlimited usage license?",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Irrevocable Or Perpetual License,"Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Source Code Escrow,"Highlight the parts (if any) of this contract related to ""Source Code Escrow"" that should be reviewed by a lawyer. Details: Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Post-Termination Services,"Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","During the Term, the right to use Endorser's Name and Appearance Rights granted to MusclePharm in this Section shall extend for six (6) months beyond the expiration of this Agreement (the ""Use-up Period"")., During the Term of this Agreement and during any sell-off period, MusclePharm shall pay Lender a royalty (the ""Royalty"") of 10% on Net Sales (as defined below) of Licensed Products sold through its wholesale Distribution Channels or retail Distribution Channels, as the case may be and 10% on Net Sales of the Training Video and any Products sold in connection with any Training Video as contemplated pursuant to the last sentence of Section 4(a)(i) above., Notwithstanding the foregoing, in the event the expiration of this Agreement or termination of this Agreement by Musclepharm pursuant to paragraph 9(a), MusclePharm shall be entitled to sell-off the remaining Licensed Products for six (6) months after such expiration of this Agreement pursuant to paragraph 4(d) herein and shall continue to pay Endorser the Royalty set forth in paragraph 7 herein., MusclePharm shall create no new advertising during the Use-up Period using Endorser's Name and Appearance, but shall have the right to use during the Use-up Period Endorser's Name and Appearance in advertisements and promotional materials created before the expiration date of this Agreement., MusclePharm agrees to preserve and keep accessible and available to the AS Parties all relevant books and records for a period of at least three (3) years following the expiration or termination of the Agreement., MusclePharm's obligations for the payment of a Royalty and the Guaranteed Minimum Royalty (as defined below) shall survive expiration or termination of this Agreement and will continue for so long as MusclePharm continues to manufacture, sell or otherwise market the Licensed Products."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Audit Rights,"Highlight the parts (if any) of this contract related to ""Audit Rights"" that should be reviewed by a lawyer. Details: Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?","Lender understands that all books, records, and documents of MusclePharm relating to it have been and remain available for inspection by him or his business and financial advisors upon reasonable notice., The AS Parties shall have the right, upon at least five (5) days written notice and no more than once each Contract Year of the Term to inspect MusclePharm's books and records and all other documents and material in the possession of or under the control of MusclePharm with respect to the Licensed Products at the place or places where such records are normally retained by MusclePharm, MusclePharm shall at all reasonable times during the Term (but no more than once during each Contract Year of the Term), and upon reasonable notice, permit the AS Parties to send their authorized representatives to inspect the facilities of MusclePharm or its agents in order to confirm that the production of the Licensed Products hereunder is in compliance with the quality standards set out herein and, at MusclePharm's expense, randomly test the formulas of the Licensed Products for quality control purposes, although the AS Parties will have no obligation to do so., In the event a shortfall in the amount of five percent (5%) or more is discovered, MusclePharm shall reimburse the AS Parties for the cost of the audit including any reasonable attorney's fees incurred in connection therewith."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Uncapped Liability,"Highlight the parts (if any) of this contract related to ""Uncapped Liability"" that should be reviewed by a lawyer. Details: Is a party’s liability uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation.",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Cap On Liability,"Highlight the parts (if any) of this contract related to ""Cap On Liability"" that should be reviewed by a lawyer. Details: Does the contract include a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.","IN NO EVENT SHALL THE AS PARTIES BE LIABLE FOR SPECIAL, CONSEQUENTIAL, OR PUNITIVE DAMAGES., In no event shall the AS Parties' indemnification obligations to MusclePharm hereunder exceed the after-tax value of the Cash Consideration received by Lender under this Agreement."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Liquidated Damages,"Highlight the parts (if any) of this contract related to ""Liquidated Damages"" that should be reviewed by a lawyer. Details: Does the contract contain a clause that would award either party liquidated damages for breach or a fee upon the termination of a contract (termination fee)?",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Warranty Duration,"Highlight the parts (if any) of this contract related to ""Warranty Duration"" that should be reviewed by a lawyer. Details: What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Insurance,"Highlight the parts (if any) of this contract related to ""Insurance"" that should be reviewed by a lawyer. Details: Is there a requirement for insurance that must be maintained by one party for the benefit of the counterparty?","MusclePharm shall, throughout the Term of the Agreement and for a period of not less than four years thereafter, obtain and maintain at its own cost and expense from a qualified insurance company licensed to do business in California and New York, a commercial general liability insurance policy including coverage for contractual liability (applying to the terms and conditions of this agreement), product liability, personal injury liability, and advertiser's liability, in a form approved by the AS Parties, in the amount of at least Five Million Dollars (US$5,000,000) per occurrence naming the AS Parties (for the avoidance of doubt, specifically including each of Lender, Endorser, and Fitness) as additional named insureds, MusclePharm agrees to furnish the AS Parties a certificate of insurance evidencing same within thirty (30) days after execution of this Agreement and, in no event, shall MusclePharm manufacture, distribute, advertise, or sell the Licensed Products prior to receipt by the AS Parties of such evidence of insurance., The policy shall provide for ten (10) days notice to the AS Parties from the insurer by Registered or Certified Mail, return receipt requested, in the event of any modification, cancellation, or termination thereof., MusclePharm shall be responsible to provide for any appearances pursuant to this Agreement by Endorser appropriate certificates of insurance with coverage limits of at least Five Million Dollars (US$5,000,000) per occurrence endorsed to name the AS Parties as additional named insureds with respect to claims arising out of appearances by Endorser., MusclePharm shall be responsible to pay the deductible under any such insurance policies with respect to any claims made under such policies., Without limiting the generality of the foregoing, such policy shall provide protection against any and all claims, demands, and causes of action arising out of any defects or failure to perform, alleged or otherwise, of the Products and Licensed Products or any material used in connection therewith or any use thereof."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Covenant Not To Sue,"Highlight the parts (if any) of this contract related to ""Covenant Not To Sue"" that should be reviewed by a lawyer. Details: Is a party restricted from contesting the validity of the counterparty’s ownership of intellectual property or otherwise bringing a claim against the counterparty for matters unrelated to the contract?","During the Term and after expiration or termination of this Agreement, MusclePharm shall not contest or otherwise challenge or attack the AS Parties' rights in the Trademarks or Name and Appearance Rights or the validity of the license being granted herein."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement__Third Party Beneficiary,"Highlight the parts (if any) of this contract related to ""Third Party Beneficiary"" that should be reviewed by a lawyer. Details: Is there a non-contracting party who is a beneficiary to some or all of the clauses in the contract and therefore can enforce its rights against a contracting party?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Document Name","Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",Master Service Agreement
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Parties","Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract","CRO, Client, CRO Consulting (Pty) Limited, Purinix Pharmaceuticals LLC"
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Agreement Date","Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","May 25th, 2018"
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Effective Date","Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective ","25/05/2008, This Agreement shall take effect on the date of signature of the Agreement by both parties and shall terminate when all obligations required of both parties hereunder are performed unless either terminated earlier or extended by the parties pursuant to the terms of this Agreement subject to clause 4.0."
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Expiration Date","Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?",This Agreement shall take effect on the date of signature of the Agreement by both parties and shall terminate when all obligations required of both parties hereunder are performed unless either terminated earlier or extended by the parties pursuant to the terms of this Agreement subject to clause 4.0.
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Renewal Term","Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Notice Period To Terminate Renewal","Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Governing Law","Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?","This Agreement shall be governed by the laws of the State of Connecticut, U.S.A. without regard to conflict of law principles."
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Most Favored Nation","Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Non-Compete","Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Exclusivity","Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__No-Solicit Of Customers","Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Competitive Restriction Exception","Highlight the parts (if any) of this contract related to ""Competitive Restriction Exception"" that should be reviewed by a lawyer. Details: This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__No-Solicit Of Employees","Highlight the parts (if any) of this contract related to ""No-Solicit Of Employees"" that should be reviewed by a lawyer. Details: Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Non-Disparagement","Highlight the parts (if any) of this contract related to ""Non-Disparagement"" that should be reviewed by a lawyer. Details: Is there a requirement on a party not to disparage the counterparty?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Termination For Convenience","Highlight the parts (if any) of this contract related to ""Termination For Convenience"" that should be reviewed by a lawyer. Details: Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?",Client may terminate this Agreement on thirty (30) days written notice without cause.
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Rofr/Rofo/Rofn","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Change Of Control","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Anti-Assignment","Highlight the parts (if any) of this contract related to ""Anti-Assignment"" that should be reviewed by a lawyer. Details: Is consent or notice required of a party if the contract is assigned to a third party?","Any attempted assignment or delegation without such consent will be void., CRO may not subcontract any parts of the Services to a third party without the prior written approval of Client, which approval shall not unreasonably be withheld., CRO will not assign any right or delegate any obligation under this Agreement without the prior written consent of Client."
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Revenue/Profit Sharing","Highlight the parts (if any) of this contract related to ""Revenue/Profit Sharing"" that should be reviewed by a lawyer. Details: Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Price Restrictions","Highlight the parts (if any) of this contract related to ""Price Restrictions"" that should be reviewed by a lawyer. Details: Is there a restriction on the  ability of a party to raise or reduce prices of technology, goods, or  services provided?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Minimum Commitment","Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Volume Restriction","Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Ip Ownership Assignment","Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","(b) that all deliverables and work products in the form of works of authorship developed by CRO in the performance of Services under this Agreement shall be deemed works made for hire, and shall belong fully and exclusively to Client; and that if by operation of law such deliverables or work products are not works made for hire, CRO agrees to, and does hereby, assign to Client all right, title, and interest in such deliverables or work product, including all copyrights therein; (c) to execute all necessary documents and provide Client proper assistance (at its expense) sufficient to enable it to obtain patent, copyright or other legal protections for any such inventions or innovations as described in paragraph 7.1(a) and (b), and to make and maintain reasonably detailed accurate records of any such inventions or innovations;, CRO agrees that during the term of this Agreement and for a period of three years thereafter: (a) to disclose and assign to Client as its exclusive property all inventions and technical or business innovations specifically derived from the work assigned by Client to CRO which CRO develops or conceives, solely or in conjunction with others (1) that are based on or involve information of Client, (2) that relate to, constitute, result from, or include the work in which CRO will be engaged for Client, or (3) that are otherwise made through the use of any time, facilities or materials of Client;"
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Joint Ip Ownership","Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__License Grant","Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Non-Transferable License","Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Affiliate License-Licensor","Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Affiliate License-Licensee","Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Unlimited/All-You-Can-Eat-License","Highlight the parts (if any) of this contract related to ""Unlimited/All-You-Can-Eat-License"" that should be reviewed by a lawyer. Details: Is there a clause granting one party an “enterprise,” “all you can eat” or unlimited usage license?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Irrevocable Or Perpetual License","Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Source Code Escrow","Highlight the parts (if any) of this contract related to ""Source Code Escrow"" that should be reviewed by a lawyer. Details: Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Post-Termination Services","Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","to deliver to Client, upon termination or expiration of this Agreement, all materials which were provided to CRO under the terms of this Agreement and which relate to the business of, or belong to, Client or which were provided by Client for the use of its employees, contractors or consultants;"
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Audit Rights","Highlight the parts (if any) of this contract related to ""Audit Rights"" that should be reviewed by a lawyer. Details: Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Uncapped Liability","Highlight the parts (if any) of this contract related to ""Uncapped Liability"" that should be reviewed by a lawyer. Details: Is a party’s liability uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation.","Notwithstanding any other provision of this Agreement, each party's total liability in respect of damages under this Agreement, any regulation or common law shall be limited to the sum of all amounts received from Client in terms of this Agreement; provided, however, that this limitation shall not apply with respect to any claims arising out of or relating to clause 6 (Inventions and Proprietary Information), indemnification obligations or damages arising from a party's gross negligence or willful misconduct."
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Cap On Liability","Highlight the parts (if any) of this contract related to ""Cap On Liability"" that should be reviewed by a lawyer. Details: Does the contract include a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.","Any action of any kind by either party arising out of this Agreement must be commenced within five (5) years from the date the right, claim, demand, or cause of action shall first arise., Neither Party shall be liable to the other Party in respect of any indirect loses or damaged, pure economic nature, loss of profits or income howsoever arising., Notwithstanding any other provision of this Agreement, each party's total liability in respect of damages under this Agreement, any regulation or common law shall be limited to the sum of all amounts received from Client in terms of this Agreement; provided, however, that this limitation shall not apply with respect to any claims arising out of or relating to clause 6 (Inventions and Proprietary Information), indemnification obligations or damages arising from a party's gross negligence or willful misconduct."
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Liquidated Damages","Highlight the parts (if any) of this contract related to ""Liquidated Damages"" that should be reviewed by a lawyer. Details: Does the contract contain a clause that would award either party liquidated damages for breach or a fee upon the termination of a contract (termination fee)?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Warranty Duration","Highlight the parts (if any) of this contract related to ""Warranty Duration"" that should be reviewed by a lawyer. Details: What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Insurance","Highlight the parts (if any) of this contract related to ""Insurance"" that should be reviewed by a lawyer. Details: Is there a requirement for insurance that must be maintained by one party for the benefit of the counterparty?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Covenant Not To Sue","Highlight the parts (if any) of this contract related to ""Covenant Not To Sue"" that should be reviewed by a lawyer. Details: Is a party restricted from contesting the validity of the counterparty’s ownership of intellectual property or otherwise bringing a claim against the counterparty for matters unrelated to the contract?",
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement__Third Party Beneficiary","Highlight the parts (if any) of this contract related to ""Third Party Beneficiary"" that should be reviewed by a lawyer. Details: Is there a non-contracting party who is a beneficiary to some or all of the clauses in the contract and therefore can enforce its rights against a contracting party?",
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT__Document Name","Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",Consulting Agreement
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT__Parties","Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract","Driven Deliveries, Inc., TruckThat LLC, Company and Consultant shall sometimes be referred to herein singularly as a ""Party"" or collectively as the ""Parties"" to this Agreement., Company, Consultant"
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT__Agreement Date","Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","May 1, 2019"
